question,answer,options,correct_option,path,condition
A 45-year-old male with a BMI of 35 and a waist circumference of 42 inches is diagnosed with obesity. What is the most appropriate initial step in the management of this patient?,Counsel the patient regarding diet and exercise to achieve an ideal BMI of 23.,"['Prescribe orlistat to reduce fat absorption.', 'Refer the patient for bariatric surgery.', 'Initiate a very-low-calorie diet (less than 800 calories per day).', 'Measure the patient’s body fat percentage using bioelectrical impedance.', 'Counsel the patient regarding diet and exercise to achieve an ideal BMI of 23.']",E,Root node representing a patient with obesity -> Measure BMI and waist circumference -> Management of the patient -> Counsel regarding diet/exercise to ideal BMI (23),obesity
"A 45-year-old male with a BMI of 35 presents to your office. You measure his waist circumference and find it to be 42 inches. According to the guidelines, what is the next best step in the management of this patient?",Check lipids and glucose. Control blood pressure. Make a dietary plan and follow-up,"['Start the patient on Orlistat', 'Refer the patient for bariatric surgery', 'Prescribe a very-low-calorie diet (less than 800 calories)', 'Reassure the patient that his BMI is only mildly elevated', 'Check lipids and glucose. Control blood pressure. Make a dietary plan and follow-up']",E,Root node representing a patient with obesity -> Measure BMI and waist circumference -> Management of the patient -> Check lipids and glucose. Control blood pressure. Make a dietary plan and follow-up,obesity
"A 45-year-old male with a BMI of 32 and a waist circumference of 42 inches is seeking medical advice for weight management. He has a family history of diabetes and hypertension, but his initial fasting glucose and lipid panel are normal, and his blood pressure is within the normal range. What is the MOST appropriate next step in managing this patient's obesity?","Recommend a structured dietary plan with regular follow-up, and if unsuccessful or if glucose/lipid levels become elevated, consider supplemental medication.","['Prescribe orlistat immediately to aid in weight loss.', 'Refer the patient for bariatric surgery evaluation.', 'Recommend a structured dietary plan with regular follow-up, and if unsuccessful or if glucose/lipid levels become elevated, consider supplemental medication.', 'Advise the patient to follow an extremely-low-fat diet.', 'Reassure the patient that his risk is only mild and that no intervention is needed at this time.']",C,"Root node representing a patient with obesity -> Measure BMI and waist circumference -> Management of the patient -> Check fasting lipids and glucose. Control blood pressure. Make a dietary plan and follow-up. If unsuccessful or if elevated glucose or lipids, consider supplemental medication",obesity
"A 58-year-old male with a BMI of 32 presents with complaints of knee pain and stiffness, diagnosed as osteoarthritis. Considering his obesity and osteoarthritis, which of the following exercise recommendations is MOST appropriate?",Recommend low-impact exercise alternatives.,"['Advise high-intensity interval training.', 'Suggest weightlifting for muscle strengthening.', 'Recommend prolonged periods of standing.', 'Encourage participation in contact sports.', 'Recommend low-impact exercise alternatives.']",E,"Root node representing a patient with obesity -> Measure BMI and waist circumference -> Management of the patient -> See BMI 30-35. If osteoarthritis present, consider low-impact exercise alternatives",obesity
A 50-year-old male with a BMI of 42 and a history of unsuccessful weight loss attempts through diet and exercise asks what the next step in management should be. Which of the following is the MOST appropriate next step in the management of this patient's obesity?,Consider bariatric surgery,"['Initiate pharmacologic therapy with orlistat', 'Recommend a very-low-calorie diet (less than 800 calories per day)', 'Prescribe sibutramine for appetite suppression', 'Refer the patient for liposuction', 'Consider bariatric surgery']",E,"Root node representing a patient with obesity -> Measure BMI and waist circumference -> Management of the patient -> Try all modalities. If unsuccessful, consider bariatric surgery",obesity
"A 58-year-old male with a history of hypertension presents to the clinic for a routine check-up. His blood pressure, taken twice during the visit, averages 185/125 mm Hg. He reports no symptoms and his physical exam is unremarkable. According to the guidelines, what is the most appropriate next step in managing this patient's hypertension?",Encourage lifestyle modifications and closely monitor the patient's blood pressure.,"['Initiate immediate treatment with intravenous antihypertensive medications.', 'Prescribe a single, low-dose thiazide diuretic.', 'Encourage lifestyle modifications and closely monitor the patient's blood pressure.', 'Order ambulatory blood pressure monitoring to confirm the diagnosis.', 'Immediately refer the patient to a cardiologist for further evaluation.']",C,"Patient with HYPERTENSION -> Blood pressure (average of two readings at two separate times) -> SBP >180 mm Hg or DBP >120 mm Hg -> Encourage lifestyle modifications, monitor closely",hypertension
"A 58-year-old male with a history of hypertension presents to the emergency department with a blood pressure reading of 185/125 mm Hg. According to the guidelines, what is the most appropriate next step in managing this patient?",Assess for end-organ damage to rule out hypertensive crisis.,"['Initiate immediate treatment with oral antihypertensive agents.', 'Prescribe a low-salt diet and schedule a follow-up appointment.', 'Assess for end-organ damage to rule out hypertensive crisis.', 'Order routine blood work and ECG.', 'Start the patient on a thiazide diuretic.']",C,"Patient with HYPERTENSION -> Blood pressure (average of two readings at two separate times) -> SBP >180 mm Hg or DBP >120 mm Hg -> History, physical examination, laboratory tests, ECG -> Lifestyle modifications: low-salt diet, weight loss, exercise -> <140/90 mm Hg or <130/80 mm Hg for diabetes mellitus, chronic kidney disease -> Treat with oral agents Follow closely -> Compelling indication -> Treatment based on indication (see Table 1)",hypertension
"A 58-year-old male with a history of hypertension presents to the emergency department with a blood pressure reading of 185/125 mm Hg. He denies any new symptoms or end-organ damage. According to the guidelines, what is the most appropriate initial step in managing his hypertension?",Treat with oral agents and closely monitor the patient.,"['Admit the patient for immediate intravenous antihypertensive therapy.', 'Prescribe two-drug combinations as first choice.', 'Treat with oral agents and closely monitor the patient.', 'Initiate a thorough investigation for identifiable causes of hypertension.', 'Recommend lifestyle modifications and reassess in 1 week.']",C,Patient with HYPERTENSION -> Blood pressure (average of two readings at two separate times) -> SBP >180 mm Hg or DBP >120 mm Hg -> New onset or end-organ damage? -> Treat with oral agents Follow closely -> Compelling indication -> Treatment based on indication (see Table 1),hypertension
"A 53-year-old male with no prior history of hypertension presents to your clinic for a routine check-up. His blood pressure reading today is 148/92 mm Hg. He has no other known medical conditions and his physical exam is unremarkable. Initial laboratory tests are normal. According to current guidelines, what is the most appropriate initial management strategy?",Initiate single-drug therapy with a thiazide diuretic or ACE inhibitor and closely monitor the patient's blood pressure.,"['Begin with two-drug combination therapy.', 'Prescribe an angiotensin II receptor blocker (ARB).', 'Recommend strict lifestyle modifications and re-evaluate in 3 months.', 'Initiate single-drug therapy with a thiazide diuretic or ACE inhibitor and closely monitor the patient's blood pressure.', 'Refer the patient to a cardiologist for further evaluation.']",D,"Patient with HYPERTENSION -> Blood pressure (average of two readings at two separate times) -> SBP >180 mm Hg or DBP >120 mm Hg -> History, physical examination, laboratory tests, ECG -> Lifestyle modifications: low-salt diet, weight loss, exercise -> <140/90 mm Hg or <130/80 mm Hg for diabetes mellitus, chronic kidney disease -> Treat with oral agents Follow closely -> No compelling indication -> 140-159/80-89 mm Hg Single-drug therapy with thiazide diuretic or ACE inhibitor",hypertension
"A 58-year-old male with a history of hypertension presents to the clinic with a blood pressure reading of 185/125 mm Hg. After confirming this reading on a subsequent visit and ruling out any acute end-organ damage, what would be the most appropriate initial management strategy, assuming no other compelling indications are present?",Initiate treatment with oral antihypertensive agents and closely monitor the patient's response.,"['Prescribe lifestyle modifications and reassess in 3-6 months.', 'Start single-drug therapy with a thiazide diuretic or ACE inhibitor.', 'Admit the patient for immediate intravenous antihypertensive therapy.', 'Initiate treatment with oral antihypertensive agents and closely monitor the patient\'s response.', 'Order ambulatory blood pressure monitoring to rule out white coat hypertension.']",D,Patient with HYPERTENSION -> Blood pressure (average of two readings at two separate times) -> SBP >180 mm Hg or DBP >120 mm Hg -> New onset or end-organ damage? -> Treat with oral agents Follow closely -> No compelling indication -> 140-159/80-89 mm Hg Single-drug therapy with thiazide diuretic or ACE inhibitor,hypertension
"A 58-year-old male with a history of hypertension presents to the clinic with an average blood pressure reading of 165/95 mm Hg after lifestyle modifications. He has no other known comorbidities. According to the guidelines, what would be the most appropriate next step in managing his hypertension?",Consider initiating a two-drug combination therapy.,"['Increase lifestyle modification efforts.', 'Prescribe a thiazide diuretic or ACE inhibitor.', 'Monitor blood pressure closely without intervention.', 'Refer to a cardiologist for further evaluation.', 'Consider initiating a two-drug combination therapy.']",E,"Patient with HYPERTENSION -> Blood pressure (average of two readings at two separate times) -> SBP >180 mm Hg or DBP >120 mm Hg -> History, physical examination, laboratory tests, ECG -> Lifestyle modifications: low-salt diet, weight loss, exercise -> <140/90 mm Hg or <130/80 mm Hg for diabetes mellitus, chronic kidney disease -> Treat with oral agents Follow closely -> No compelling indication -> SBP>160 mm Hg or DBP >90 mm Hg Consider two-drug combination",hypertension
A 67-year-old man with a history of hypertension presents to the clinic with a blood pressure reading of 182/124 mm Hg (average of two readings at two separate times). He denies any new symptoms or end-organ damage. He has no compelling indications for specific antihypertensive medications. What is the most appropriate next step in managing his hypertension?,Consider initiating a two-drug combination therapy.,"['Initiate lifestyle modifications and reassess in 3 months.', 'Start a thiazide diuretic as first-line therapy.', 'Start an ACE inhibitor as first-line therapy.', 'Prescribe an oral agent and follow up closely.', 'Consider initiating a two-drug combination therapy.']",E,Patient with HYPERTENSION -> Blood pressure (average of two readings at two separate times) -> SBP >180 mm Hg or DBP >120 mm Hg -> New onset or end-organ damage? -> Treat with oral agents Follow closely -> No compelling indication -> SBP>160 mm Hg or DBP >90 mm Hg Consider two-drug combination,hypertension
"A 60-year-old male with a history of hypertension presents to the clinic with a blood pressure reading of 185/125 mm Hg. After initial evaluation, including history, physical examination, and laboratory tests, no identifiable causes of secondary hypertension are found. He has no other comorbidities. What is the MOST appropriate next step in managing his hypertension?","Initiate treatment with two oral antihypertensive agents from different classes, along with lifestyle modifications, and closely monitor the patient's blood pressure.","['Initiate treatment with a single oral antihypertensive agent and lifestyle modifications, and reassess blood pressure in 3 months.', 'Prescribe an ACE inhibitor as first-line therapy due to potential risk for coronary artery disease.', 'Recommend lifestyle modifications alone and reassess blood pressure in 1 month.', 'Admit the patient for immediate intravenous antihypertensive therapy.', 'Initiate treatment with two oral antihypertensive agents from different classes, along with lifestyle modifications, and closely monitor the patient's blood pressure.']",E,"Patient with HYPERTENSION -> Blood pressure (average of two readings at two separate times) -> SBP >180 mm Hg or DBP >120 mm Hg -> History, physical examination, laboratory tests, ECG -> Lifestyle modifications: low-salt diet, weight loss, exercise -> <140/90 mm Hg or <130/80 mm Hg for diabetes mellitus, chronic kidney disease -> Treat with oral agents Follow closely -> No compelling indication -> add different class of drug based on side effect profile and/or indication",hypertension
"A 58-year-old male with a history of hypertension presents to the clinic with a blood pressure reading of 185/125 mm Hg. He denies any new symptoms or end-organ damage. After confirming the reading, what is the most appropriate next step in managing his hypertension?",Add a different class of antihypertensive medication based on side effect profile and/or indication.,"['Initiate intravenous antihypertensive therapy.', 'Prescribe a thiazide diuretic as first-line therapy.', 'Add a different class of antihypertensive medication based on side effect profile and/or indication.', 'Increase the dose of his current antihypertensive medication.', 'Recommend lifestyle modifications alone.']",C,Patient with HYPERTENSION -> Blood pressure (average of two readings at two separate times) -> SBP >180 mm Hg or DBP >120 mm Hg -> New onset or end-organ damage? -> Treat with oral agents Follow closely -> No compelling indication -> add different class of drug based on side effect profile and/or indication,hypertension
"A 58-year-old male with a history of hypertension presents to the emergency department with a blood pressure reading of 185/125 mm Hg. According to the guidelines, what is the MOST appropriate next step in managing this patient?",Assess the patient for end-organ damage to rule out hypertensive crisis.,"['Initiate immediate treatment with intravenous antihypertensive medications.', 'Prescribe a thiazide diuretic as first-line therapy.', 'Recheck blood pressure after 30 minutes of rest.', 'Assess the patient for end-organ damage to rule out hypertensive crisis.', 'Recommend lifestyle modifications, including a low-salt diet and exercise.']",D,"Patient with HYPERTENSION -> Blood pressure (average of two readings at two separate times) -> SBP >180 mm Hg or DBP >120 mm Hg -> History, physical examination, laboratory tests, ECG -> Lifestyle modifications: low-salt diet, weight loss, exercise -> <140/90 mm Hg or <130/80 mm Hg for diabetes mellitus, chronic kidney disease -> Hypertensive crisis (see Table 2)",hypertension
"A 58-year-old man with a history of hypertension presents to the emergency department with a severe headache and blurred vision. His blood pressure is 200/130 mm Hg. According to the guidelines, what is the most appropriate next step in managing this patient?",Assess the patient for signs of end-organ damage to rule out hypertensive crisis.,"['Initiate oral antihypertensive medication to gradually lower blood pressure over 24-48 hours.', 'Administer intravenous labetalol to rapidly lower blood pressure.', 'Assess the patient for signs of end-organ damage to rule out hypertensive crisis.', 'Prescribe a thiazide diuretic and schedule a follow-up appointment in one week.', 'Recommend lifestyle modifications, including a low-salt diet and increased physical activity.']",C,Patient with HYPERTENSION -> Blood pressure (average of two readings at two separate times) -> SBP >180 mm Hg or DBP >120 mm Hg -> New onset or end-organ damage? -> Hypertensive crisis (see Table 2),hypertension
